Language,Program,PowerLimit, Package,Core,GPU,DRAM, Time (ms),Temperature,Memory
Go, catalan, -1, 245.169372558593750000, 126.435668945312500000, 0.000000000000000000, 30.436889648437500000, 12487, 31.5, 1760
Go, catalan, -1, 245.057556152343750000, 126.317199707031250000, 0.000000000000000000, 30.431823730468750000, 12485, 32.5, 1764
Go, catalan, -1, 246.064453125000000000, 127.053649902343750000, 0.000915527343750000, 30.494262695312500000, 12506, 32.5, 1772
Go, catalan, -1, 251.051330566406250000, 131.958923339843750000, 0.000000000000000000, 30.619628906250000000, 12544, 34.0, 1796
Go, catalan, -1, 246.268432617187500000, 126.989440917968750000, 0.000000000000000000, 30.564331054687500000, 12540, 34.5, 1764
Go, catalan, -1, 245.561279296875000000, 126.513916015625000000, 0.000976562500000000, 30.434875488281250000, 12486, 34.0, 1800
Go, catalan, -1, 246.172912597656250000, 127.229064941406250000, 0.000000000000000000, 30.466796875000000000, 12491, 34.2, 1788
Go, catalan, -1, 246.764709472656250000, 127.075073242187500000, 0.000000000000000000, 30.568908691406250000, 12541, 34.5, 1796
Go, catalan, -1, 245.806152343750000000, 127.001831054687500000, 0.000000000000000000, 30.449768066406250000, 12489, 35.2, 1756
Go, catalan, -1, 247.161743164062500000, 127.404602050781250000, 0.001037597656250000, 30.567443847656250000, 12540, 35.8, 1796
