Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, fibonacci, -1, 0.082397460937500000, 0.016174316406250000, 0.000000000000000000, 0.027709960937500000, 9, 25.5, 1656
Go, fibonacci, -1, 0.081970214843750000, 0.016113281250000000, 0.000000000000000000, 0.024902343750000000, 9, 25.5, 1636
Go, fibonacci, -1, 0.079895019531250000, 0.015686035156250000, 0.000000000000000000, 0.024841308593750000, 9, 25.5, 1600
Go, fibonacci, -1, 0.083679199218750000, 0.016784667968750000, 0.000000000000000000, 0.024963378906250000, 10, 25.5, 1632
Go, fibonacci, -1, 0.081176757812500000, 0.015502929687500000, 0.000000000000000000, 0.024902343750000000, 9, 25.5, 1632
Go, fibonacci, -1, 0.081604003906250000, 0.016113281250000000, 0.000000000000000000, 0.024780273437500000, 9, 25.5, 1632
Go, fibonacci, -1, 0.082031250000000000, 0.015991210937500000, 0.000000000000000000, 0.024902343750000000, 9, 25.5, 1632
Go, fibonacci, -1, 0.082153320312500000, 0.016418457031250000, 0.000000000000000000, 0.024841308593750000, 9, 25.5, 1628
Go, fibonacci, -1, 0.074829101562500000, 0.016540527343750000, 0.000000000000000000, 0.024841308593750000, 9, 26.0, 1600
Go, fibonacci, -1, 0.081787109375000000, 0.016052246093750000, 0.000000000000000000, 0.024902343750000000, 9, 26.0, 1632
