Version, Term, AvgPackage, AvgTime
v1-wf, 43, 97.40, 11556
v1-wf, 44, 157.66, 18701
v1-wf, 45, 255.74, 30255
v1-wf, 46, 532.81, 51072
v1-wf, 47, 876.15, 85829
v1-wof, 43, 198.96, 19487
v1-wof, 44, 273.37, 31373
v1-wof, 45, 410.87, 50635
v1-wof, 46, 607.29, 81920
v1-wof, 47, 1310.50, 134322
v2-wf, 43, 0.17, 16.12
v2-wf, 44, 0.10, 9.62
v2-wf, 45, 0.08, 9
v2-wf, 46, 0.08, 9
v2-wf, 47, 0.74, 67.50
v2-wof, 43, 0.14, 12.50
v2-wof, 44, 0.10, 10
v2-wof, 45, 0.17, 16.25
v2-wof, 46, 0.10, 9.75
v2-wof, 47, 0.74, 67.62
